model,AUC,Accuracy,BalancedAcc,F1
LR,0.996643,0.977273,0.982955,0.967033
QLR(quantum-features),0.692924,0.795455,0.693182,0.557377
SVC(RBF),0.986312,0.924242,0.931818,0.893617
QSVC(quantum-kernel),0.998450,0.977273,0.965909,0.964706
NN(MLP),1.000000,1.000000,1.000000,1.000000
QNN(variational),0.522727,0.333333,0.488636,0.488372
